id,학교명,학급 수,예측 교원 수
95,달서중학교,1.0,9.421
96,대구체육중학교,2.0,11.141
97,한울안중학교,2.0,11.141
98,구남중학교,3.0,12.861
99,가창중학교,4.0,14.581
100,신당중학교,3.0,12.861
101,경상여자중학교,5.0,16.301
102,논공중학교,5.0,16.301
103,서남중학교,4.0,14.581
104,대평중학교,6.0,18.021
105,경일중학교,5.0,16.301
106,경혜여자중학교,4.0,14.581
107,범일중학교,5.0,16.301
108,상인중학교,6.0,18.021
109,팔달중학교,6.0,18.021
110,수성중학교,5.0,16.301
111,입석중학교,6.0,18.021
112,현풍중학교,5.0,16.301
113,송현여자중학교,6.0,18.021
114,경암중학교,6.0,18.021
115,공산중학교,5.0,16.301
116,대구제일중학교,6.0,18.021
117,북동중학교,8.0,21.461
118,산격중학교,7.0,19.741
119,이곡중학교,8.0,21.461
120,신아중학교,8.0,21.461
121,대구북중학교,8.0,21.461
122,서대구중학교,7.0,19.741
123,천내중학교,7.0,19.741
124,경구중학교,7.0,19.741
125,성곡중학교,8.0,21.461
126,화원중학교,8.0,21.461
127,대명중학교,9.0,23.181
128,서변중학교,9.0,23.181
129,동촌중학교,8.0,21.461
130,관음중학교,10.0,24.901
131,대구중학교,10.0,24.901
132,불로중학교,9.0,23.181
133,대구중앙중학교,10.0,24.901
134,덕화중학교,10.0,24.901
135,새본리중학교,11.0,26.621
136,칠곡중학교,11.0,26.621
137,동변중학교,11.0,26.621
138,상서중학교,12.0,28.341
139,복현중학교,13.0,30.061
140,와룡중학교,10.0,24.901
141,지산중학교,11.0,26.621
142,대구팔공중학교,11.0,26.621
143,경운중학교,12.0,28.341
144,신기중학교,13.0,30.061
145,월배중학교,13.0,30.061
146,관천중학교,9.0,23.181
147,경상중학교,13.0,30.061
148,평리중학교,13.0,30.061
149,안심중학교,14.0,31.781
150,대서중학교,12.0,28.341
151,노변중학교,12.0,28.341
152,계성중학교,13.0,30.061
153,성명여자중학교,13.0,30.061
154,성산중학교,14.0,31.781
155,사수중학교,12.0,28.341
156,학산중학교,16.0,35.221
157,동원중학교,13.0,30.061
158,매호중학교,13.0,30.061
159,성당중학교,15.0,33.501
160,운암중학교,14.0,31.781
161,심인중학교,16.0,35.221
162,용산중학교,11.0,26.621
163,경서중학교,15.0,33.501
164,원화중학교,16.0,35.221
165,서재중학교,16.0,35.221
166,경일여자중학교,16.0,35.221
167,중리중학교,18.0,38.661
168,경북대학교사범대학부설중학교,16.0,35.221
169,다사중학교,17.0,36.940999999999995
170,협성경복중학교,13.0,30.061
171,구지중학교,16.0,35.221
172,청구중학교,19.0,40.381
173,범물중학교,17.0,36.940999999999995
174,달성중학교,18.0,38.661
175,대곡중학교,20.0,42.101
176,경명여자중학교,16.0,35.221
177,능인중학교,14.0,31.781
178,도원중학교,19.0,40.381
179,구암중학교,20.0,42.101
180,효성중학교,18.0,38.661
181,덕원중학교,19.0,40.381
182,영신중학교,20.0,42.101
183,매천중학교,21.0,43.821
184,대구동부중학교,23.0,47.261
185,서동중학교,23.0,47.261
186,성화중학교,20.0,42.101
187,성지중학교,20.0,42.101
188,고산중학교,22.0,45.541
189,율원중학교,21.0,43.821
190,대건중학교,22.0,45.541
191,상원중학교,23.0,47.261
192,성광중학교,23.0,47.261
193,대진중학교,24.0,48.981
194,성서중학교,24.0,48.981
195,침산중학교,24.0,48.981
196,학남중학교,23.0,47.261
197,황금중학교,23.0,47.261
198,포산중학교,23.0,47.261
199,영남중학교,24.0,48.981
200,신명여자중학교,25.0,50.701
201,유가중학교,24.0,48.981
202,새론중학교,27.0,54.141
203,시지중학교,26.0,52.421
204,대륜중학교,22.0,45.541
205,강동중학교,27.0,54.141
206,왕선중학교,27.0,54.141
207,오성중학교,29.0,57.581
208,대구일중학교,28.0,55.861
209,동평중학교,30.0,59.301
210,소선여자중학교,29.0,57.581
211,경신중학교,30.0,59.301
212,동도중학교,31.0,61.021
213,강북중학교,33.0,64.461
214,정화중학교,35.0,67.901
215,월서중학교,36.0,69.621
216,조암중학교,36.0,69.621
217,대구동중학교,36.0,69.621
218,월암중학교,23.0,47.261
